Tx,Px,Hx,D,Ty,Py,Hy
30.0,1200.0,65,0.0,30.0,1200.0,65.0
30.0,1200.0,65,0.1,29.335864962947554,1182.480163742233,63.528853813194665
30.0,1200.0,65,0.2,28.676323347781928,1165.2016989194485,62.06178752986637
30.0,1200.0,65,0.30000000000000004,28.025873486341524,1148.3960466360818,60.602847140701215
30.0,1200.0,65,0.4,27.388826803635276,1132.2754651276878,59.15601128018325
30.0,1200.0,65,0.5,26.769222390213795,1117.025068335312,57.72515871285641
30.0,1200.0,65,0.6000000000000001,26.17075077451974,1102.7966478184135,56.314037191604726
30.0,1200.0,65,0.7000000000000001,25.596689271994116,1089.7046070497024,54.9262341039328
30.0,1200.0,65,0.8,25.049850750938457,1077.8241509637292,53.565149288099846
30.0,1200.0,65,0.9,24.532547047537363,1067.1916854152062,52.233970359903694
30.0,1200.0,65,1.0,24.04656761927286,1057.8072108748443,50.93565084392348
30.0,1200.0,65,1.1,23.593173383295706,1049.6383586277063,49.67289135124064
30.0,1200.0,65,1.2000000000000002,23.173105078629142,1042.6256269166408,48.44812399029384
30.0,1200.0,65,1.3,22.78660494899244,1036.6883335409473,47.26350013987619
30.0,1200.0,65,1.4000000000000001,22.43345009148763,1031.730808763124,46.120881654666995
30.0,1200.0,65,1.5,22.112995473337108,1027.6484010481065,45.02183551541222
30.0,1200.0,65,1.6,21.82422439451736,1024.332947444391,43.9676318791883
30.0,1200.0,65,1.7000000000000002,21.56580407089635,1021.6774577049603,42.95924543128272
30.0,1200.0,65,1.8,21.336144025377163,1019.5798638957357,41.9973598901769
30.0,1200.0,65,1.9000000000000001,21.13345509219526,1017.9457841491245,41.08237547186108
30.0,1200.0,65,2.0,20.955807045456297,1016.690331928553,40.2144190800326
30.0,1200.0,65,2.1,20.801183137276343,1015.7390653998177,39.39335695524663
30.0,1200.0,65,2.2,20.667530151696344,1015.0282131786305,38.618809489238444
30.0,1200.0,65,2.3000000000000003,20.55280292586021,1014.5043335476145,37.89016789067764
